topic_id,keywords,processed_text_for_model,all_emotion_scores,dominant_emotion,dominant_score,big5_profile_mapped,interpreted_emotion_flavor
1,commits,Explore the emotional landscape surrounding a villain character whose motivations include: commits,"{'sadness': 0.7081036567687988, 'fear': 0.17756560444831848, 'anger': 0.09693760424852371, 'joy': 0.012513511814177036, 'love': 0.0039614466950297356, 'surprise': 0.0009182187495753169}",sadness,0.7081036567687988,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
2,kind,Explore the emotional landscape surrounding a villain character whose motivations include: kind,"{'sadness': 0.5946598649024963, 'love': 0.14172346889972687, 'joy': 0.09141941368579865, 'anger': 0.08791548758745193, 'fear': 0.08246996253728867, 'surprise': 0.0018118725856766105}",sadness,0.5946598649024963,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'Medium', 'Agreeableness': 'Very Low', 'Neuroticism': 'Medium'}",Feigned Sadness / Manipulative Pity Play
3,family,Explore the emotional landscape surrounding a villain character whose motivations include: family,"{'sadness': 0.6236071586608887, 'fear': 0.24266208708286285, 'anger': 0.10538793355226517, 'joy': 0.01842697151005268, 'love': 0.00871303491294384, 'surprise': 0.0012027863413095474}",sadness,0.6236071586608887,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
4,personal,Explore the emotional landscape surrounding a villain character whose motivations include: personal,"{'sadness': 0.6412200331687927, 'fear': 0.20722682774066925, 'anger': 0.11820966750383377, 'joy': 0.022872444242239, 'love': 0.009328433312475681, 'surprise': 0.0011425695847719908}",sadness,0.6412200331687927,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
5,enjoys,Explore the emotional landscape surrounding a villain character whose motivations include: enjoys,"{'sadness': 0.6678133010864258, 'fear': 0.16318626701831818, 'anger': 0.1165371760725975, 'joy': 0.03035048581659794, 'love': 0.02083566226065159, 'surprise': 0.0012771020410582423}",sadness,0.6678133010864258,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
6,crime,Explore the emotional landscape surrounding a villain character whose motivations include: crime,"{'sadness': 0.4766918122768402, 'fear': 0.3782987594604492, 'anger': 0.12095311284065247, 'joy': 0.016461117193102837, 'love': 0.00624625850468874, 'surprise': 0.0013489749981090426}",sadness,0.4766918122768402,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
7,boss,Explore the emotional landscape surrounding a villain character whose motivations include: boss,"{'sadness': 0.531734049320221, 'fear': 0.3211497366428375, 'anger': 0.12631218135356903, 'joy': 0.014212490990757942, 'love': 0.005454526282846928, 'surprise': 0.0011370470747351646}",sadness,0.531734049320221,"{'Openness': 'Medium', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",General Sadness
12,mistreatment,Explore the emotional landscape surrounding a villain character whose motivations include: mistreatment,"{'sadness': 0.5550940036773682, 'fear': 0.36657169461250305, 'anger': 0.07053115218877792, 'love': 0.0037486713845282793, 'joy': 0.002840354572981596, 'surprise': 0.0012141416082158685}",sadness,0.5550940036773682,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Low', 'Neuroticism': 'High'}",General Sadness
14,past,Explore the emotional landscape surrounding a villain character whose motivations include: past,"{'sadness': 0.6928784251213074, 'fear': 0.19878652691841125, 'anger': 0.08190266788005829, 'joy': 0.019197659566998482, 'love': 0.006166062317788601, 'surprise': 0.0010686347959563136}",sadness,0.6928784251213074,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",Haunting Sorrow / Past Trauma Sadness
15,collapse,Explore the emotional landscape surrounding a villain character whose motivations include: collapse,"{'sadness': 0.9234172105789185, 'fear': 0.06124561280012131, 'anger': 0.010101178660988808, 'joy': 0.0034504225477576256, 'love': 0.0012924143811687827, 'surprise': 0.0004932028241455555}",sadness,0.9234172105789183,"{'Openness': 'Medium', 'Conscientiousness': 'Medium', 'Extraversion': 'Medium', 'Agreeableness': 'Medium', 'Neuroticism': 'High'}",Haunting Sorrow / Past Trauma Sadness
