topic_id,keywords,processed_text_for_model,all_emotion_scores,dominant_emotion,dominant_score,interpreted_emotion_flavor
0,murder,Explore the emotional landscape surrounding a villain character whose motivations include: murder,"{'fear': 0.5253556966781616, 'sadness': 0.34553948044776917, 'anger': 0.11705346405506134, 'joy': 0.006928051821887493, 'love': 0.0038792365230619907, 'surprise': 0.0012440031860023737}",fear,0.525355697,
1,commits,Explore the emotional landscape surrounding a villain character whose motivations include: commits,"{'sadness': 0.7081036567687988, 'fear': 0.17756560444831848, 'anger': 0.09693760424852371, 'joy': 0.012513511814177036, 'love': 0.0039614466950297356, 'surprise': 0.0009182187495753169}",sadness,0.708103657,General Sadness
2,kind,Explore the emotional landscape surrounding a villain character whose motivations include: kind,"{'sadness': 0.5946598649024963, 'love': 0.14172346889972687, 'joy': 0.09141941368579865, 'anger': 0.08791548758745193, 'fear': 0.08246996253728867, 'surprise': 0.0018118725856766105}",sadness,0.594659865,"Feigned Sadness, Manipulative Pity Play"
3,family,Explore the emotional landscape surrounding a villain character whose motivations include: family,"{'sadness': 0.6236071586608887, 'fear': 0.24266208708286285, 'anger': 0.10538793355226517, 'joy': 0.01842697151005268, 'love': 0.00871303491294384, 'surprise': 0.0012027863413095474}",sadness,0.623607159,General Sadness
4,personal,Explore the emotional landscape surrounding a villain character whose motivations include: personal,"{'sadness': 0.6412200331687927, 'fear': 0.20722682774066925, 'anger': 0.11820966750383377, 'joy': 0.022872444242239, 'love': 0.009328433312475681, 'surprise': 0.0011425695847719908}",sadness,0.641220033,General Sadness
5,enjoys,Explore the emotional landscape surrounding a villain character whose motivations include: enjoys,"{'sadness': 0.6678133010864258, 'fear': 0.16318626701831818, 'anger': 0.1165371760725975, 'joy': 0.03035048581659794, 'love': 0.02083566226065159, 'surprise': 0.0012771020410582423}",sadness,0.667813301,General Sadness
6,crime,Explore the emotional landscape surrounding a villain character whose motivations include: crime,"{'sadness': 0.4766918122768402, 'fear': 0.3782987594604492, 'anger': 0.12095311284065247, 'joy': 0.016461117193102837, 'love': 0.00624625850468874, 'surprise': 0.0013489749981090426}",sadness,0.476691812,General Sadness
7,boss,Explore the emotional landscape surrounding a villain character whose motivations include: boss,"{'sadness': 0.531734049320221, 'fear': 0.3211497366428375, 'anger': 0.12631218135356903, 'joy': 0.014212490990757942, 'love': 0.005454526282846928, 'surprise': 0.0011370470747351646}",sadness,0.531734049,General Sadness
8,loyalty,Explore the emotional landscape surrounding a villain character whose motivations include: loyalty,"{'anger': 0.6049705147743225, 'sadness': 0.16217811405658722, 'fear': 0.09446975588798523, 'love': 0.08805656433105469, 'joy': 0.048636309802532196, 'surprise': 0.001688796211965382}",anger,0.604970515,
9,cruelty,Explore the emotional landscape surrounding a villain character whose motivations include: cruelty,"{'anger': 0.5648811459541321, 'sadness': 0.3522546589374542, 'fear': 0.07123540341854095, 'love': 0.005772797856479883, 'joy': 0.004785080906003714, 'surprise': 0.0010708667105063796}",anger,0.564881146,
10,sharp,Explore the emotional landscape surrounding a villain character whose motivations include: sharp,"{'anger': 0.5683988332748413, 'fear': 0.2520913779735565, 'sadness': 0.12708288431167603, 'joy': 0.039860643446445465, 'love': 0.010914307087659836, 'surprise': 0.0016519546043127775}",anger,0.568398833,
11,torture,Explore the emotional landscape surrounding a villain character whose motivations include: torture,"{'fear': 0.582928478717804, 'sadness': 0.33968454599380493, 'anger': 0.06855503469705582, 'joy': 0.00447797030210495, 'love': 0.0030815463978797197, 'surprise': 0.0012724491534754634}",fear,0.582928479,
12,mistreatment,Explore the emotional landscape surrounding a villain character whose motivations include: mistreatment,"{'sadness': 0.5550940036773682, 'fear': 0.36657169461250305, 'anger': 0.07053115218877792, 'love': 0.0037486713845282793, 'joy': 0.002840354572981596, 'surprise': 0.0012141416082158685}",sadness,0.555094004,General Sadness
13,strong,Explore the emotional landscape surrounding a villain character whose motivations include: strong,"{'joy': 0.8327203989028931, 'sadness': 0.08527690172195435, 'fear': 0.03209308907389641, 'anger': 0.024755116552114487, 'love': 0.02431490458548069, 'surprise': 0.0008395928889513016}",joy,0.832720399,
14,past,Explore the emotional landscape surrounding a villain character whose motivations include: past,"{'sadness': 0.6928784251213074, 'fear': 0.19878652691841125, 'anger': 0.08190266788005829, 'joy': 0.019197659566998482, 'love': 0.006166062317788601, 'surprise': 0.0010686347959563136}",sadness,0.692878425,"Haunting Sorrow, Past Trauma Sadness"
15,collapse,Explore the emotional landscape surrounding a villain character whose motivations include: collapse,"{'sadness': 0.9234172105789185, 'fear': 0.06124561280012131, 'anger': 0.010101178660988808, 'joy': 0.0034504225477576256, 'love': 0.0012924143811687827, 'surprise': 0.0004932028241455555}",sadness,0.923417211,"Haunting Sorrow, Past Trauma Sadness"
16,general,Explore the emotional landscape surrounding a villain character whose motivations include: general,"{'sadness': 0.5020776987075806, 'fear': 0.3448597192764282, 'anger': 0.1271326094865799, 'joy': 0.01804414764046669, 'love': 0.0066715809516608715, 'surprise': 0.001214199815876782}",sadness,0.502077699,General Sadness
